,balance,冗長ラベル（日本語）,冗長ラベル（英語）,標準ラベル（英語）,標準ラベル（日本語）,color
減価償却累計額、構築物、高速道路事業固定資産、高速道路事業_up, debit, 減価償却累計額、構築物、高速道路事業固定資産、高速道路事業, Accumulated depreciation-structures-highway business-NCA-HWY, Accumulated depreciation-structures-highway business-NCA-HWY, 減価償却累計額、構築物、高速道路事業固定資産、高速道路事業,tomato
減価償却累計額、機械、運搬具及び工具器具備品_up, debit, 減価償却累計額、機械、運搬具及び工具器具備品," Accumulated depreciation-machinery, vehicles, tools, furniture and fixtures"," Accumulated depreciation-machinery, vehicles, tools, furniture and fixtures", 減価償却累計額、機械、運搬具及び工具器具備品,tomato
減価償却累計額、機械及び装置_up, debit, 減価償却累計額、機械及び装置, Accumulated depreciation-machinery and equipment, Accumulated depreciation-machinery and equipment, 減価償却累計額、機械及び装置,tomato
減価償却累計額、機械及び装置、各事業共用固定資産、高速道路事業_up, debit, 減価償却累計額、機械及び装置、各事業共用固定資産、高速道路事業, Accumulated depreciation-machinery and equipment-NCA-affiliated-HWY, Accumulated depreciation-machinery and equipment-NCA-affiliated-HWY, 減価償却累計額、機械及び装置、各事業共用固定資産、高速道路事業,tomato
減価償却累計額、機械及び装置、関連事業固定資産、高速道路事業_up, debit, 減価償却累計額、機械及び装置、関連事業固定資産、高速道路事業, Accumulated depreciation-machinery and equipment-NCA-related-HWY, Accumulated depreciation-machinery and equipment-NCA-related-HWY, 減価償却累計額、機械及び装置、関連事業固定資産、高速道路事業,tomato
減価償却累計額、機械及び装置、電気通信事業固定資産_up, debit, 減価償却累計額、機械及び装置、電気通信事業固定資産, Accumulated depreciation-machinery and equipment-NCA-telecommunications, Accumulated depreciation-machinery and equipment-NCA-telecommunications, 減価償却累計額、機械及び装置、電気通信事業固定資産,tomato
減価償却累計額、機械及び装置、高速道路事業固定資産、高速道路事業_up, debit, 減価償却累計額、機械及び装置、高速道路事業固定資産、高速道路事業, Accumulated depreciation-machinery and equipment-highway business-NCA-HWY, Accumulated depreciation-machinery and equipment-highway business-NCA-HWY, 減価償却累計額、機械及び装置、高速道路事業固定資産、高速道路事業,tomato
減価償却累計額、機械装置及び運搬具_up, debit, 減価償却累計額、機械装置及び運搬具," Accumulated depreciation-machinery, equipment and vehicles"," Accumulated depreciation-machinery, equipment and vehicles", 減価償却累計額、機械装置及び運搬具,tomato
減価償却累計額、機械設備、電気通信事業固定資産_up, debit, 減価償却累計額、機械設備、電気通信事業固定資産, Accumulated depreciation-machinery-NCA-telecommunications, Accumulated depreciation-machinery-NCA-telecommunications, 減価償却累計額、機械設備、電気通信事業固定資産,tomato
減価償却累計額、海底線設備、電気通信事業固定資産_up, debit, 減価償却累計額、海底線設備、電気通信事業固定資産, Accumulated depreciation-submarine-NCA-telecommunications, Accumulated depreciation-submarine-NCA-telecommunications, 減価償却累計額、海底線設備、電気通信事業固定資産,tomato
減価償却累計額、空中線設備、電気通信事業固定資産_up, debit, 減価償却累計額、空中線設備、電気通信事業固定資産, Accumulated depreciation-antenna-NCA-telecommunications, Accumulated depreciation-antenna-NCA-telecommunications, 減価償却累計額、空中線設備、電気通信事業固定資産,tomato
減価償却累計額、端末設備、電気通信事業固定資産_up, debit, 減価償却累計額、端末設備、電気通信事業固定資産, Accumulated depreciation-terminal-NCA-telecommunications, Accumulated depreciation-terminal-NCA-telecommunications, 減価償却累計額、端末設備、電気通信事業固定資産,tomato
減価償却累計額、線路設備、電気通信事業固定資産_up, debit, 減価償却累計額、線路設備、電気通信事業固定資産, Accumulated depreciation-line facilities-NCA-telecommunications, Accumulated depreciation-line facilities-NCA-telecommunications, 減価償却累計額、線路設備、電気通信事業固定資産,tomato
減価償却累計額、自動車事業、鉄道事業_up, debit, 減価償却累計額、自動車事業、鉄道事業, Accumulated depreciation-automobile-RWY, Accumulated depreciation-automobile-RWY, 減価償却累計額、自動車事業、鉄道事業,tomato
減価償却累計額、航空機_up, debit, 減価償却累計額、航空機, Accumulated depreciation-aircraft, Accumulated depreciation-aircraft, 減価償却累計額、航空機,tomato
減価償却累計額、船舶_up, debit, 減価償却累計額、船舶, Accumulated depreciation-vessels, Accumulated depreciation-vessels, 減価償却累計額、船舶,tomato
減価償却累計額、船舶及び車両、学校法人_up, debit, 減価償却累計額、船舶及び車両、学校法人, Accumulated depreciation-vessels and vehicles-EDU, Accumulated depreciation-vessels and vehicles-EDU, 減価償却累計額、船舶及び車両、学校法人,tomato
減価償却累計額、貸与資産_up, debit, 減価償却累計額、貸与資産, Accumulated depreciation-assets for rent, Accumulated depreciation-assets for rent, 減価償却累計額、貸与資産,tomato
減価償却累計額、賃貸不動産_up, debit, 減価償却累計額、賃貸不動産, Accumulated depreciation-real estate for rent, Accumulated depreciation-real estate for rent, 減価償却累計額、賃貸不動産,tomato
減価償却累計額、車両、リース事業_up, debit, 減価償却累計額、車両、リース事業, Accumulated depreciation-vehicles-LEA, Accumulated depreciation-vehicles-LEA, 減価償却累計額、車両、リース事業,tomato
減価償却累計額、車両、商品先物取引業_up, debit, 減価償却累計額、車両、商品先物取引業, Accumulated depreciation-vehicles-CMD, Accumulated depreciation-vehicles-CMD, 減価償却累計額、車両、商品先物取引業,tomato
減価償却累計額、車両、電気通信事業固定資産_up, debit, 減価償却累計額、車両、電気通信事業固定資産, Accumulated depreciation-vehicles-NCA-telecommunications, Accumulated depreciation-vehicles-NCA-telecommunications, 減価償却累計額、車両、電気通信事業固定資産,tomato
減価償却累計額、車両及び船舶、社会医療法人_up, debit, 減価償却累計額、車両及び船舶、社会医療法人, Accumulated depreciation-vehicles and vessels-MED, Accumulated depreciation-vehicles and vessels-MED, 減価償却累計額、車両及び船舶、社会医療法人,tomato
減価償却累計額、車両及び船舶、電気通信事業固定資産_up, debit, 減価償却累計額、車両及び船舶、電気通信事業固定資産, Accumulated depreciation-vehicle-NCA-telecommunications, Accumulated depreciation-vehicle-NCA-telecommunications, 減価償却累計額、車両及び船舶、電気通信事業固定資産,tomato
減価償却累計額、車両運搬具_up, debit, 減価償却累計額、車両運搬具, Accumulated depreciation-vehicles, Accumulated depreciation-vehicles, 減価償却累計額、車両運搬具,tomato
減価償却累計額、車両運搬具、各事業共用固定資産、高速道路事業_up, debit, 減価償却累計額、車両運搬具、各事業共用固定資産、高速道路事業, Accumulated depreciation-vehicles-NCA-affiliated-HWY, Accumulated depreciation-vehicles-NCA-affiliated-HWY, 減価償却累計額、車両運搬具、各事業共用固定資産、高速道路事業,tomato
減価償却累計額、車両運搬具、関連事業固定資産、高速道路事業_up, debit, 減価償却累計額、車両運搬具、関連事業固定資産、高速道路事業, Accumulated depreciation-vehicles-NCA-related-HWY, Accumulated depreciation-vehicles-NCA-related-HWY, 減価償却累計額、車両運搬具、関連事業固定資産、高速道路事業,tomato
